n_experiment,pattern,length,n_rows,n_cols,rank,condnumber,sparsity,isdiag,issymmetric,ishermitian,isposdef,istriu,istril,algorithm,cast_time,calc_time,error
2,minij,256,16,16,16,437.69761653851185,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,3.583e-6,2.838445163112688e-18
2,minij,65536,256,256,256,106654.7116833422,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,0.000342042,1.862859826405e-18
2,minij,256,16,16,16,437.69761653851185,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,3.583e-6,2.838445163112688e-18
2,moler,256,16,16,16,4.172334681524535e10,0.109375,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,4.333e-6,3.999345665354761e-18
2,moler,65536,256,256,255,9.995601423281524e15,0.00775146484375,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,0.000337167,1.3856891712290644e-20
2,moler,256,16,16,16,4.172334681524535e10,0.109375,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,4.333e-6,3.999345665354761e-18
2,oscillate,256,16,16,16,6.710886408825664e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.875e-6,1.0234979788903478e-17
2,oscillate,65536,256,256,256,6.710886459988333e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000340209,5.453767923351412e-18
2,oscillate,256,16,16,16,6.710886408825664e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.875e-6,1.0234979788903478e-17
1,parter,256,16,16,16,2.597041432373486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.292e-6,3.236287769946583e-17
1,parter,65536,256,256,256,3.6884666368943746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000342917,2.4844136991807615e-17
1,parter,256,16,16,16,2.597041432373486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.292e-6,3.236287769946583e-17
2,pascal,256,16,16,14,4.244685974352883e16,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,4.0e-6,6.964129679832501e-19
2,pascal,65536,256,256,6,3.8352995414338934e177,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.0003685,9.941887778376496e-152
2,pascal,256,16,16,14,4.244685974352883e16,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,4.0e-6,6.964129679832501e-19
3,pei,256,16,16,16,17.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,4.25e-6,2.3581896932639928e-17
1,pei,65536,256,256,256,257.0000000004094,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,0.000344125,1.4921937377915393e-17
3,pei,256,16,16,16,17.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,4.25e-6,2.3581896932639928e-17
1,phillips,256,16,16,16,1472.1410834752728,0.515625,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,5.583e-6,1.1625791923643093e-17
2,phillips,65536,256,256,256,1.1354150888684054e8,0.5595703125,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.000353417,1.4143353590875188e-17
1,phillips,256,16,16,16,1472.1410834752728,0.515625,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,5.583e-6,1.1625791923643093e-17
1,poisson,256,16,16,16,9.472135954999576,0.75,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,5.5e-6,4.459e-6,2.5624165493886205e-17
1,poisson,65536,256,256,256,116.46119157748863,0.9814453125,0.0,1.0,1.0,1.0,0.0,0.0,klu,0.0,0.000136833,7.280418347697373e-18
1,poisson,256,16,16,16,9.472135954999576,0.75,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,5.5e-6,4.459e-6,2.5624165493886205e-17
1,prolate,256,16,16,16,110.96946936728523,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,4.667e-6,2.1939931622380908e-17
1,prolate,65536,256,256,256,26801.36056996058,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.000347791,1.836322412070132e-17
1,prolate,256,16,16,16,110.96946936728523,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,4.667e-6,2.1939931622380908e-17
3,randcorr,256,16,16,16,21.838798965023834,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,4.5e-6,3.943715329440047e-17
2,randcorr,65536,256,256,256,3276.4126586387247,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,0.000334709,2.7283346717767912e-17
3,randcorr,256,16,16,16,21.838798965023834,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,4.5e-6,3.943715329440047e-17
2,rando,256,16,16,16,343.6861014218802,0.48828125,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.583e-6,1.7148616552744793e-17
2,rando,65536,256,256,256,5148.686283028612,0.502960205078125,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000357083,1.4509020682112602e-16
2,rando,256,16,16,16,343.6861014218802,0.48828125,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.583e-6,1.7148616552744793e-17
1,randsvd,256,16,16,16,6.710886399497305e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,6.625e-6,2.7222553731514318e-17
1,randsvd,65536,256,256,256,6.710886394575832e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000354292,4.710737664165208e-17
1,randsvd,256,16,16,16,6.710886399497305e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,6.625e-6,2.7222553731514318e-17
2,rohess,256,16,16,16,1.0000000000000013,0.41015625,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.75e-6,4.785027268635356e-17
3,rohess,65536,256,256,256,1.0000000000000038,0.4941558837890625,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000349416,2.5217159657282692e-17
2,rohess,256,16,16,16,1.0000000000000013,0.41015625,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.75e-6,4.785027268635356e-17
2,rosser,256,16,16,14,1.5921968982127928e16,0.125,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,5.041e-6,2.6050971840531487e-17
2,rosser,65536,256,256,224,9.505382651850893e17,0.95263671875,0.0,1.0,1.0,0.0,0.0,0.0,klu,0.0,9.4e-5,2.2786851022603688e-17
2,rosser,256,16,16,14,1.5921968982127928e16,0.125,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,5.041e-6,2.6050971840531487e-17
2,sampling,256,16,16,15,8.234640121683445e16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.125e-6,2.631358990839616e-17
3,sampling,65536,256,256,255,6.9188475229959416e16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000338958,5.916401535162332e-18
2,sampling,256,16,16,15,8.234640121683445e16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.125e-6,2.631358990839616e-17
1,shaw,256,16,16,16,5.3147137535105804e11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,5.208e-6,1.7992214598205003e-17
1,shaw,65536,256,256,20,4.208639464812694e20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.000354125,5.340015805347776e-18
1,shaw,256,16,16,16,5.3147137535105804e11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,5.208e-6,1.7992214598205003e-17
2,smallworld,256,16,16,16,31.540500837802924,0.7421875,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,1.7167e-5,5.042e-6,2.944788064785474e-17
1,smallworld,65536,256,256,256,2166.669401495573,0.98345947265625,0.0,1.0,1.0,0.0,0.0,0.0,klu,0.0,0.000143208,5.708624873950496e-17
2,smallworld,256,16,16,16,31.540500837802924,0.7421875,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,1.7167e-5,5.042e-6,2.944788064785474e-17
2,spikes,256,16,16,12,4.302792715824899e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.333e-6,8.564158777018143e-18
1,spikes,65536,256,256,24,1.113380417157525e20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000353542,2.648834690171863e-18
2,spikes,256,16,16,12,4.302792715824899e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.333e-6,8.564158777018143e-18
3,toeplitz,256,16,16,16,206.1327176843014,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,3.709e-6,1.2003588633484594e-17
2,toeplitz,65536,256,256,256,46027.48637082602,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.000351625,6.070309918103707e-18
3,toeplitz,256,16,16,16,206.1327176843014,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,3.709e-6,1.2003588633484594e-17
2,triw,256,16,16,16,204262.9571835094,0.46875,0.0,0.0,0.0,0.0,1.0,0.0,dgetrf,0.0,4.75e-6,2.6465900527254747e-18
2,triw,65536,256,256,255,2.5601496081691345e19,0.498046875,0.0,0.0,0.0,0.0,1.0,0.0,klu,0.0,0.000135458,3.0780565329343793e-78
2,triw,256,16,16,16,204262.9571835094,0.46875,0.0,0.0,0.0,0.0,1.0,0.0,dgetrf,0.0,4.75e-6,2.6465900527254747e-18
2,ursell,256,16,16,16,1.2079850816313172e14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,4.5e-6,1.4835981410354567e-17
1,ursell,65536,256,256,253,1.1861111489636327e14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.000354083,2.3564433890964755e-17
2,ursell,256,16,16,16,1.2079850816313172e14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,4.5e-6,1.4835981410354567e-17
2,vand,256,16,16,8,1.5649254590697983e20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.833e-6,2.2283877847879188e-27
2,vand,256,16,16,8,1.5649254590697983e20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.833e-6,2.2283877847879188e-27
2,wing,256,16,16,8,3.324384503326781e18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,5.25e-6,2.400574976122933e-18
2,wing,65536,256,256,8,8.11332092983476e20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000341166,5.369283513058471e-20
2,wing,256,16,16,8,3.324384503326781e18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,5.25e-6,2.400574976122933e-18
3,Bai/bfwa62,3844,62,62,62,553.0614770730951,0.8829344432882414,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,2.792e-6,2.4583e-5,8.624512795572852e-18
1,Bai/bfwb62,3844,62,62,62,12.233397315325462,0.9474505723204995,0.0,0.0,0.0,0.0,0.0,1.0,klu,0.0,1.3e-5,6.5255859796464096e-18
1,Bai/tols90,8100,90,90,90,20232.030442995077,0.7844444444444445,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,2.725e-5,2.1530439819331332e-19
3,FIDAP/ex5,729,27,27,27,17.829761335132893,0.7901234567901234,0.0,0.0,0.0,0.0,0.0,1.0,klu,0.0,8.291e-6,6.866459268867807e-18
3,Grund/b1_ss,49,7,7,7,197.37318146617636,0.6938775510204082,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,2.375e-6,4.541e-6,2.9702574140717072e-18
1,Grund/d_dyn,7569,87,87,87,7.415749730832279e6,0.9696128947020742,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,4.6792e-5,5.637361015470279e-18
1,Grund/d_dyn1,7569,87,87,87,7.427809209253548e6,0.9693486590038314,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,2.208e-6,4.2375e-5,1.150932603988869e-18
1,Grund/d_ss,2809,53,53,53,6.144859616853981e8,0.9487362050551797,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,2.334e-6,2.0458e-5,1.0013446187435432e-18
2,HB/ash85,7225,85,85,85,128.07879432287083,0.957923875432526,0.0,0.0,0.0,0.0,0.0,1.0,klu,0.0,1.1875e-5,4.5889882858162464e-18
1,HB/bcspwr01,1521,39,39,39,43.522969904790166,0.9441157133464826,0.0,0.0,0.0,0.0,0.0,1.0,klu,0.0,8.375e-6,6.914928527532812e-18
3,HB/bcspwr02,2401,49,49,49,36.723128666472064,0.9550187421907539,0.0,0.0,0.0,0.0,0.0,1.0,klu,0.0,8.709e-6,5.326485234718568e-18
1,HB/bcsstk01,2304,48,48,48,43782.156097111125,0.9027777777777778,0.0,0.0,0.0,0.0,0.0,1.0,klu,0.0,1.05e-5,2.957378245684361e-20
2,HB/bcsstk02,4356,66,66,66,17.165169924274537,0.49242424242424243,0.0,0.0,0.0,0.0,0.0,1.0,klu,0.0,1.8708e-5,1.3622836943044381e-17
2,HB/bcsstm02,4356,66,66,66,8.752170469913189,0.9848484848484849,1.0,1.0,1.0,1.0,1.0,1.0,klu,0.0,8.25e-6,2.2417109450249093e-18
1,HB/can_24,576,24,24,24,34.07768629328619,0.8402777777777778,0.0,0.0,0.0,0.0,0.0,1.0,klu,0.0,8.083e-6,7.95082597780198e-18
2,HB/can_61,3721,61,61,61,135.47609727048686,0.916957807041118,0.0,0.0,0.0,0.0,0.0,1.0,klu,0.0,1.15e-5,5.9701313185233025e-18
3,HB/can_62,3844,62,62,62,85.98162430916143,0.963579604578564,0.0,0.0,0.0,0.0,0.0,1.0,klu,0.0,9.959e-6,4.486140687829019e-18
2,HB/can_73,5329,73,73,73,1763.4917014620264,0.9577781947832614,0.0,0.0,0.0,0.0,0.0,1.0,klu,0.0,9.459e-6,5.412882854960458e-18
