n_experiment,pattern,length,n_rows,n_cols,rank,condnumber,sparsity,isdiag,issymmetric,ishermitian,isposdef,istriu,istril,algorithm,cast_time,calc_time,error
1,frank,256,16,16,16,2.3048660109097006e14,0.41015625,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,2.9084e-5,5.637598702675093e-18
1,frank,65536,256,256,255,1.342518513304239e19,0.4941558837890625,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000410375,3.2730223664195505e-20
1,frank,65536,256,256,255,1.342518513304239e19,0.4941558837890625,0.0,0.0,0.0,0.0,0.0,0.0,umfpack,0.000106334,0.001135416,1.9211243439714702e-19
1,frank,65536,256,256,255,1.342518513304239e19,0.4941558837890625,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,0.000661833,1.2934790910184601e-19
1,golub,256,16,16,15,3.5775695447479744e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.75e-6,1.4339438077480119e-18
1,golub,256,16,16,15,3.5775695447479744e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,umfpack,3.541e-6,5.15e-5,4.5714119359356534e-18
1,golub,256,16,16,15,3.5775695447479744e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,2.8167e-5,1.2892067934045154e-18
1,golub,65536,256,256,246,7.774524171033317e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000413042,2.043436668359549e-18
1,golub,65536,256,256,246,7.774524171033317e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,umfpack,0.000107375,0.002955542,6.458054631440281e-19
1,golub,65536,256,256,246,7.774524171033317e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,0.003535291,1.901738482642985e-18
1,gravity,256,16,16,16,18403.730755697383,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,9.458e-6,2.2168658062326652e-17
1,gravity,256,16,16,16,18403.730755697383,0.0,0.0,1.0,1.0,1.0,0.0,0.0,umfpack,3.75e-6,7.5166e-5,2.4635541043969657e-17
1,gravity,256,16,16,16,18403.730755697383,0.0,0.0,1.0,1.0,1.0,0.0,0.0,klu,0.0,1.9709e-5,1.9390315458698884e-17
